21
  0.00000000       0.00000000       10.0000000    
  0.500000000      0.474999994       9.52499962    
   1.00000000      0.899999976       9.10000038    
   1.50000000       1.27499998       8.72500038    
   2.00000000       1.60000002       8.39999962    
   2.50000000       1.87500000       8.12500000    
   3.00000000       2.09999990       7.90000010    
   3.50000000       2.27500010       7.72499990    
   4.00000000       2.40000010       7.59999990    
   4.50000000       2.47499990       7.52500010    
   5.00000000       2.50000000       7.50000000    
   5.50000000       2.47499990       7.52500010    
   6.00000000       2.39999986       7.60000038    
   6.50000000       2.27500010       7.72499990    
   7.00000000       2.09999990       7.90000010    
   7.50000000       1.87500000       8.12500000    
   8.00000000       1.59999990       8.39999962    
   8.50000000       1.27500010       8.72500038    
   9.00000000      0.899999619       9.10000038    
   9.50000000      0.474999428       9.52500057
   10.0000000      0.00000000       10.0000000    
